Spec. ID,Obj. ID,Obj. IAU Name,Obj. Alt. Name/s,Obj Family Type,Obj Type,Redshift,Obs-date (UT),Phase/s,Tel / Inst,Exp-time,Observer/s,Reducer/s,Group,Spectrum ascii File,Spectrum fits File,Spec. Type,Quality,Extinction-Corrected,Flux Calibrated By,WL Medium,Assoc. Groups,Related files,Public,End Prop. Period,Reporter/s,Publish,Contrib,Remarks,Created by,Creation date (UT),Modified by,Last modified date (UT)
84197,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-22 03:52:39.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-08-22_03-52-39.800_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
53554,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-23 05:23:25.00,,ESO-NTT / EFOSC2-NTT,900,"S. Brennan, M. Fraser","N. Ihanec, M. Gromadzki",ePESSTO+,SN2019odp_2019-08-23_05-23-25.072_ESO-NTT_EFOSC2-NTT_ePESSTOp.asci,SN2019odp_2019-08-23_05-23-25.072_ESO-NTT_EFOSC2-NTT_ePESSTOp.fits,Object,Medium,,,Air,ePESSTO+,1,Y,,,,,,WIS_Bot1,2019-08-23 11:30:22,WIS_Bot1,2022-09-18 15:05:17
84198,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-23 10:55:35.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-08-23_10-55-35.700_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
53594,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-24 21:15:54.00,,P60 / SEDM,2250,SEDM-Robot,auto,TNS,SN2019odp_2019-08-24_21-15-54_P60_SEDM_TNS.ascii,,Object,,,,Air,TNS,,Y,,,,,[TNS source group: 48 - ZTF ],TNS_Bot1,2019-08-26 23:05:03,TNS_Bot1,2022-09-18 15:05:17
84199,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-25 04:15:54.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-08-25_04-15-54.400_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84200,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-27 08:44:30.00,,P200 / DBSP,300,Andreoni Karambelkar,,NOT-ZTF,2019odp_2019-08-27_08-44-30.678_P200_DBSP_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84201,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-28 04:06:42.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-08-28_04-06-42.900_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84202,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-08-30 23:35:50.00,,NOT / ALFOSC,1200,C. Barbarino,C. Barbarino,NOT-ZTF,2019odp_2019-08-30_23-35-50.890_NOT_ALFOSC_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84203,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-09-01 04:56:30.00,,P60 / SEDM,1800,The Computer,auto,NOT-ZTF,2019odp_2019-09-01_04-56-30.000_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84204,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-09-10 07:19:57.00,,P60 / SEDM,1800,The Computer,auto,NOT-ZTF,2019odp_2019-09-10_07-19-57.500_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
